# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-F" "GTF" "-O" "-p" "-T" "6" "-a" "genomic.gtf" "-s" "2" "-o" "dimA_2_light_T1.featureCounts.txt" "dimA_2_light_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	dimA_2_light_T1.bam
gene-PA14_12590	CP000438.1	1080409	1081194	-	786	306
gene-PA14_12610	CP000438.1	1081151	1082047	-	897	843
gene-PA14_12620	CP000438.1	1082136	1082552	-	417	1603
gene-PA14_12630	CP000438.1	1082719	1085211	+	2493	2470
gene-PA14_12640	CP000438.1	1085222	1085629	-	408	105
gene-PA14_12650	CP000438.1	1085653	1086387	-	735	239
gene-PA14_12670	CP000438.1	1086477	1087616	-	1140	800
gene-PA14_12680	CP000438.1	1087678	1088514	+	837	1372
gene-PA14_12690	CP000438.1	1088521	1088955	-	435	1193
gene-PA14_12700	CP000438.1	1089022	1089678	-	657	483
gene-PA14_12710	CP000438.1	1089762	1090856	-	1095	247
gene-PA14_12730	CP000438.1	1091014	1091595	-	582	246
gene-PA14_12740	CP000438.1	1091836	1092411	+	576	962
gene-PA14_12750	CP000438.1	1092477	1092980	+	504	738
gene-PA14_12760	CP000438.1	1093058	1094407	+	1350	1831
gene-PA14_12770	CP000438.1	1094430	1095605	-	1176	750
gene-PA14_12780	CP000438.1	1095964	1096593	-	630	1388
gene-PA14_12810	CP000438.1	1096875	1098053	+	1179	363
gene-PA14_12820	CP000438.1	1098155	1101793	+	3639	444
gene-PA14_12840	CP000438.1	1102008	1102598	+	591	5507
gene-PA14_12850	CP000438.1	1102625	1103203	+	579	2049
gene-PA14_12860	CP000438.1	1103206	1104801	+	1596	3498
gene-PA14_12870	CP000438.1	1104835	1105704	+	870	1170
gene-PA14_12890	CP000438.1	1105701	1106297	+	597	466
gene-PA14_12900	CP000438.1	1106421	1106702	-	282	5993
gene-PA14_12910	CP000438.1	1107072	1107251	+	180	109
gene-PA14_12920	CP000438.1	1107458	1108471	+	1014	185
gene-PA14_12940	CP000438.1	1108535	1109326	+	792	55
gene-PA14_12960	CP000438.1	1109316	1110134	+	819	56
gene-PA14_12970	CP000438.1	1110241	1111074	+	834	59
gene-PA14_12980	CP000438.1	1111237	1113273	+	2037	6085
gene-PA14_12990	CP000438.1	1113381	1115342	-	1962	2904
gene-PA14_13000	CP000438.1	1115532	1116506	-	975	433
gene-PA14_13010	CP000438.1	1116682	1117461	-	780	1060
gene-PA14_13030	CP000438.1	1117899	1119365	+	1467	9518
gene-PA14_13040	CP000438.1	1119369	1120376	+	1008	6768
gene-PA14_13050	CP000438.1	1120390	1120560	+	171	1057
gene-PA14_13060	CP000438.1	1120835	1121623	-	789	186
gene-PA14_13070	CP000438.1	1121725	1122906	+	1182	116
gene-PA14_13090	CP000438.1	1122963	1124138	-	1176	2184
gene-PA14_13110	CP000438.1	1124320	1126002	+	1683	6077
gene-PA14_13130	CP000438.1	1126214	1128139	+	1926	8502
gene-PA14_13140	CP000438.1	1128200	1129567	+	1368	6102
gene-PA14_13150	CP000438.1	1129901	1132621	+	2721	6313
gene-PA14_13170	CP000438.1	1132653	1135031	-	2379	4756
gene-PA14_13190	CP000438.1	1135535	1136926	+	1392	14251
gene-PA14_13200	CP000438.1	1137043	1137819	+	777	1443
gene-PA14_13210	CP000438.1	1137829	1138011	-	183	474
gene-PA14_13220	CP000438.1	1138174	1138602	-	429	132
gene-PA14_13230	CP000438.1	1138820	1139302	+	483	858
gene-PA14_13240	CP000438.1	1139299	1139550	+	252	937
gene-PA14_13250	CP000438.1	1139555	1140007	+	453	736
gene-PA14_13260	CP000438.1	1140109	1140666	+	558	220
gene-PA14_13280	CP000438.1	1140663	1141886	+	1224	56
gene-PA14_13290	CP000438.1	1142001	1142996	+	996	2424
gene-PA14_13300	CP000438.1	1143008	1143898	+	891	2882
gene-PA14_13320	CP000438.1	1143892	1144407	+	516	1724
gene-PA14_13330	CP000438.1	1144659	1146221	+	1563	371
gene-PA14_13340	CP000438.1	1146258	1148600	+	2343	619
gene-PA14_13350	CP000438.1	1148922	1149641	-	720	8771
gene-PA14_13360	CP000438.1	1149638	1150423	-	786	5941
gene-PA14_13370	CP000438.1	1150420	1150803	-	384	2836
gene-PA14_13380	CP000438.1	1150796	1151323	-	528	4009
gene-PA14_13390	CP000438.1	1151320	1151715	-	396	3379
gene-PA14_13410	CP000438.1	1152100	1153683	-	1584	2937
gene-PA14_13420	CP000438.1	1153904	1154365	+	462	996
gene-PA14_13430	CP000438.1	1154465	1156819	-	2355	483
gene-PA14_13450	CP000438.1	1156914	1157867	-	954	60
gene-PA14_13460	CP000438.1	1157864	1158373	-	510	94
gene-PA14_13470	CP000438.1	1158474	1159355	-	882	444
gene-PA14_13490	CP000438.1	1159481	1160383	+	903	201
gene-PA14_13500	CP000438.1	1160401	1161378	-	978	1448
gene-PA14_13510	CP000438.1	1161473	1162426	-	954	812
gene-PA14_13520	CP000438.1	1162672	1164162	+	1491	251
gene-PA14_13530	CP000438.1	1164159	1166354	+	2196	178
gene-PA14_13560	CP000438.1	1166581	1167489	+	909	97
gene-PA14_13580	CP000438.1	1167617	1168780	-	1164	5512
gene-PA14_13590	CP000438.1	1168793	1169455	-	663	2872
gene-PA14_13600	CP000438.1	1169455	1170390	-	936	4529
gene-PA14_13610	CP000438.1	1170390	1171112	-	723	2639
gene-PA14_13620	CP000438.1	1171554	1172828	+	1275	973
gene-PA14_13630	CP000438.1	1172887	1173132	-	246	452
gene-PA14_13650	CP000438.1	1173163	1174062	-	900	1010
gene-PA14_13660	CP000438.1	1174167	1174823	-	657	55
gene-PA14_13670	CP000438.1	1174918	1175304	-	387	241
gene-PA14_13680	CP000438.1	1175325	1176155	-	831	1155
gene-PA14_13690	CP000438.1	1176243	1176992	-	750	2182
gene-PA14_13710	CP000438.1	1177008	1177472	-	465	1206
gene-PA14_13720	CP000438.1	1177638	1178033	-	396	4012
gene-PA14_13730	CP000438.1	1178118	1178777	-	660	2375
gene-PA14_13740	CP000438.1	1178774	1180642	-	1869	2118
gene-PA14_13750	CP000438.1	1180817	1182112	+	1296	169
gene-PA14_13770	CP000438.1	1182125	1183531	+	1407	59
gene-PA14_13780	CP000438.1	1183607	1187392	+	3786	472
gene-PA14_13800	CP000438.1	1187404	1188945	+	1542	331
gene-PA14_13810	CP000438.1	1188951	1189691	+	741	105
gene-PA14_13830	CP000438.1	1189694	1190377	+	684	102
gene-PA14_13840	CP000438.1	1190432	1191250	+	819	111
gene-PA14_13850	CP000438.1	1191307	1192296	+	990	83
gene-PA14_13860	CP000438.1	1192303	1192482	-	180	245
gene-PA14_13870	CP000438.1	1192617	1193000	-	384	242
gene-PA14_13880	CP000438.1	1193043	1193138	-	96	10
gene-PA14_13890	CP000438.1	1193191	1194201	-	1011	189
gene-PA14_13920	CP000438.1	1195465	1195623	+	159	8
gene-PA14_13940	CP000438.1	1196245	1197924	+	1680	1100
gene-PA14_13950	CP000438.1	1197924	1198262	+	339	1280
gene-PA14_13960	CP000438.1	1198334	1198426	-	93	16
gene-PA14_13970	CP000438.1	1198431	1198694	-	264	21
gene-PA14_13990	CP000438.1	1199242	1200033	+	792	984
gene-PA14_14000	CP000438.1	1200057	1200689	-	633	405
gene-PA14_14010	CP000438.1	1200752	1201879	-	1128	381
gene-PA14_14020	CP000438.1	1201902	1202849	-	948	485
gene-PA14_14040	CP000438.1	1203010	1204203	-	1194	6031
gene-PA14_14060	CP000438.1	1204817	1206715	+	1899	4303
gene-PA14_14080	CP000438.1	1206731	1207378	-	648	4793
gene-PA14_14100	CP000438.1	1207659	1208684	+	1026	3859
gene-PA14_14110	CP000438.1	1208798	1209514	+	717	2666
gene-PA14_14130	CP000438.1	1209585	1210067	+	483	2019
gene-PA14_14140	CP000438.1	1210134	1210835	+	702	1974
gene-PA14_14150	CP000438.1	1210828	1211142	+	315	1393
gene-PA14_14160	CP000438.1	1211171	1211860	+	690	2309
gene-PA14_14170	CP000438.1	1211981	1212916	+	936	3830
gene-PA14_14200	CP000438.1	1212920	1213672	+	753	1584
gene-PA14_14210	CP000438.1	1213761	1214672	+	912	1124
gene-PA14_14220	CP000438.1	1214715	1215719	-	1005	2026
gene-PA14_14230	CP000438.1	1215812	1217167	-	1356	2529
gene-PA14_14250	CP000438.1	1217241	1217711	-	471	782
gene-PA14_14270	CP000438.1	1217815	1218357	+	543	2957
gene-PA14_14280	CP000438.1	1218347	1219243	-	897	198
gene-PA14_14290	CP000438.1	1219367	1219978	+	612	1085
gene-PA14_14300	CP000438.1	1220135	1221262	-	1128	258
gene-PA14_14310	CP000438.1	1221193	1221495	-	303	305
gene-PA14_14320	CP000438.1	1221589	1222182	+	594	352
gene-PA14_14330	CP000438.1	1222474	1222824	-	351	85
gene-PA14_14340	CP000438.1	1223012	1224022	-	1011	485
gene-PA14_14360	CP000438.1	1224114	1225946	-	1833	2025
gene-PA14_14370	CP000438.1	1226065	1226859	-	795	1597
gene-PA14_14380	CP000438.1	1226862	1227752	-	891	1412
gene-PA14_14390	CP000438.1	1227836	1228813	-	978	8820
gene-PA14_14400	CP000438.1	1228936	1229070	+	135	20
gene-PA14_14420	CP000438.1	1229163	1229642	+	480	290
gene-PA14_14430	CP000438.1	1231207	1231584	+	378	242
gene-PA14_14440	CP000438.1	1231581	1234433	-	2853	13368
gene-PA14_14450	CP000438.1	1234554	1234922	-	369	764
gene-PA14_14460	CP000438.1	1234934	1235362	-	429	1256
gene-PA14_14470	CP000438.1	1235359	1236846	-	1488	8732
gene-PA14_14480	CP000438.1	1237183	1237995	+	813	566
gene-PA14_14490	CP000438.1	1238079	1239002	+	924	286
gene-PA14_14500	CP000438.1	1239195	1240313	+	1119	1401
gene-PA14_14510	CP000438.1	1240306	1241373	+	1068	1911
gene-PA14_14520	CP000438.1	1241505	1242002	-	498	226
gene-PA14_14530	CP000438.1	1242132	1243703	+	1572	755
gene-PA14_14540	CP000438.1	1243940	1244128	+	189	445
gene-PA14_14550	CP000438.1	1244088	1244495	+	408	3007
gene-PA14_14560	CP000438.1	1244524	1244649	-	126	38
gene-PA14_14570	CP000438.1	1244743	1244826	-	84	27
gene-PA14_14590	CP000438.1	1244929	1245972	+	1044	912
gene-PA14_14600	CP000438.1	1245985	1247103	+	1119	1321
gene-PA14_14610	CP000438.1	1247147	1247485	+	339	2299
gene-PA14_14630	CP000438.1	1247545	1249407	+	1863	11999
gene-PA14_14650	CP000438.1	1249418	1250338	+	921	7406
gene-PA14_14660	CP000438.1	1250522	1251070	+	549	3166
gene-PA14_14680	CP000438.1	1251175	1251990	-	816	1551
gene-PA14_14690	CP000438.1	1252142	1252915	+	774	1920
gene-PA14_14700	CP000438.1	1252915	1253691	+	777	2991
gene-PA14_14710	CP000438.1	1253836	1254327	+	492	1503
gene-PA14_14730	CP000438.1	1254357	1255571	+	1215	9341
gene-PA14_14740	CP000438.1	1255607	1255993	+	387	5493
gene-PA14_14750	CP000438.1	1256021	1256344	+	324	4397
gene-PA14_14770	CP000438.1	1256352	1256873	+	522	2389
gene-PA14_14780	CP000438.1	1256916	1258775	+	1860	4238
gene-PA14_14800	CP000438.1	1258782	1259120	+	339	1201
gene-PA14_14810	CP000438.1	1259146	1259346	+	201	1164
gene-PA14_14820	CP000438.1	1259590	1260021	+	432	6748
gene-PA14_14830	CP000438.1	1260046	1261185	+	1140	7772
gene-PA14_14850	CP000438.1	1261203	1261961	+	759	2775
gene-PA14_14860	CP000438.1	1261958	1263001	+	1044	4136
gene-PA14_14880	CP000438.1	1262998	1264113	+	1116	4871
gene-PA14_14890	CP000438.1	1264132	1265421	+	1290	6417
gene-PA14_14900	CP000438.1	1265448	1266092	+	645	5540
gene-PA14_14910	CP000438.1	1266094	1267236	+	1143	12265
gene-PA14_14930	CP000438.1	1267314	1268795	+	1482	7578
gene-PA14_14940	CP000438.1	1269092	1270240	+	1149	3523
gene-PA14_14960	CP000438.1	1270228	1271022	+	795	2593
gene-PA14_14975	CP000438.1	1271156	1271743	+	588	2094
gene-PA14_14990	CP000438.1	1271832	1272782	-	951	5145
gene-PA14_15000	CP000438.1	1272963	1273418	+	456	680
gene-PA14_15020	CP000438.1	1273472	1273804	+	333	542
gene-PA14_15030	CP000438.1	1273874	1275652	-	1779	8517
gene-PA14_15050	CP000438.1	1276025	1276486	+	462	1915
gene-PA14_15070	CP000438.1	1276607	1278778	+	2172	18209
gene-PA14_15080	CP000438.1	1278843	1280258	+	1416	5155
gene-PA14_15090	CP000438.1	1280276	1280671	-	396	945
gene-PA14_15100	CP000438.1	1280758	1281606	-	849	964
gene-PA14_15110	CP000438.1	1281778	1282167	+	390	3163
gene-PA14_15120	CP000438.1	1282296	1282772	+	477	6817
gene-PA14_15130	CP000438.1	1282829	1283401	+	573	4213
gene-PA14_15140	CP000438.1	1283436	1284065	-	630	87
gene-PA14_15150	CP000438.1	1284186	1285139	+	954	485
gene-PA14_15160	CP000438.1	1285136	1285843	-	708	175
gene-PA14_15180	CP000438.1	1285902	1287182	-	1281	376
gene-PA14_15190	CP000438.1	1287179	1287673	-	495	156
gene-PA14_15200	CP000438.1	1287746	1288786	-	1041	1037
gene-PA14_15210	CP000438.1	1288938	1289873	-	936	307
gene-PA14_15230	CP000438.1	1289880	1291259	-	1380	987
gene-PA14_15240	CP000438.1	1291296	1292204	-	909	113
gene-PA14_15250	CP000438.1	1292312	1293094	+	783	20
gene-PA14_15260	CP000438.1	1293079	1294221	-	1143	16
gene-PA14_15270	CP000438.1	1294251	1295408	-	1158	7
gene-PA14_15280	CP000438.1	1295421	1296317	-	897	41
gene-PA14_15290	CP000438.1	1296452	1297429	-	978	113
gene-PA14_15310	CP000438.1	1297693	1299162	+	1470	12541
gene-PA14_15340	CP000438.1	1299242	1300819	+	1578	13278
gene-PA14_15350	CP000438.1	1301126	1302328	+	1203	1754
gene-PA14_15360	CP000438.1	1302743	1303723	-	981	991
gene-PA14_15370	CP000438.1	1303857	1304084	-	228	20
gene-PA14_15380	CP000438.1	1304052	1304930	+	879	113
gene-PA14_15400	CP000438.1	1304902	1305789	+	888	262
gene-PA14_15430	CP000438.1	1306410	1306970	-	561	208
gene-PA14_15435	CP000438.1	1307101	1308090	-	990	617
gene-PA14_15445	CP000438.1	1308087	1308323	-	237	287
gene-PA14_15450	CP000438.1	1308320	1308685	-	366	413
gene-PA14_15460	CP000438.1	1308703	1310388	-	1686	2516
gene-PA14_15470	CP000438.1	1310460	1310735	-	276	522
gene-PA14_15475	CP000438.1	1310748	1311098	-	351	175
gene-PA14_15480	CP000438.1	1311170	1311604	+	435	1948
gene-PA14_15490	CP000438.1	1311858	1312034	+	177	127
gene-PA14_15500	CP000438.1	1312074	1312361	+	288	181
gene-PA14_15510	CP000438.1	1312655	1313026	+	372	151
gene-PA14_15520	CP000438.1	1313291	1314076	+	786	181
gene-PA14_15530	CP000438.1	1314094	1314369	+	276	86
gene-PA14_15540	CP000438.1	1314366	1315988	+	1623	465
gene-PA14_15560	CP000438.1	1316504	1316812	-	309	594
gene-PA14_15570	CP000438.1	1317148	1317348	+	201	917
gene-PA14_15580	CP000438.1	1317407	1320187	+	2781	6437
gene-PA14_15590	CP000438.1	1321218	1323335	+	2118	7435
gene-PA14_15600	CP000438.1	1323328	1324512	+	1185	4810
gene-PA14_15610	CP000438.1	1324805	1327411	+	2607	7674
gene-PA14_15620	CP000438.1	1328012	1328974	+	963	42
gene-PA14_15630	CP000438.1	1328895	1330193	+	1299	263
gene-PA14_15650	CP000438.1	1330245	1331201	-	957	311
gene-PA14_15660	CP000438.1	1331350	1332345	+	996	211
gene-PA14_15670	CP000438.1	1332509	1333900	+	1392	1845
gene-PA14_15680	CP000438.1	1333891	1334439	+	549	811
gene-PA14_15700	CP000438.1	1334828	1336084	+	1257	317
gene-PA14_15710	CP000438.1	1336210	1336794	+	585	334
gene-PA14_15720	CP000438.1	1336808	1338163	-	1356	487
gene-PA14_15740	CP000438.1	1338564	1342460	+	3897	9741
gene-PA14_15750	CP000438.1	1342467	1342745	+	279	237
gene-PA14_15770	CP000438.1	1342925	1343242	+	318	350
gene-PA14_15780	CP000438.1	1343444	1345156	-	1713	910
gene-PA14_15790	CP000438.1	1345181	1347709	-	2529	2432
gene-PA14_15810	CP000438.1	1347726	1348748	-	1023	1153
gene-PA14_15820	CP000438.1	1348745	1349836	-	1092	1292
gene-PA14_15830	CP000438.1	1349853	1350596	-	744	285
gene-PA14_15840	CP000438.1	1350839	1351339	-	501	923
gene-PA14_15850	CP000438.1	1351402	1351956	-	555	641
gene-PA14_15860	CP000438.1	1352097	1352708	+	612	2462
gene-PA14_15870	CP000438.1	1352746	1353270	+	525	3201
gene-PA14_15880	CP000438.1	1353267	1353461	+	195	1264
gene-PA14_15890	CP000438.1	1353499	1354680	+	1182	3806
gene-PA14_15910	CP000438.1	1354682	1355431	+	750	1145
gene-PA14_15920	CP000438.1	1355439	1356752	-	1314	180
gene-PA14_15930	CP000438.1	1357056	1358348	-	1293	1254
gene-PA14_15940	CP000438.1	1358361	1359161	-	801	1753
gene-PA14_15960	CP000438.1	1359462	1360835	+	1374	4981
gene-PA14_15970	CP000438.1	1361045	1361296	+	252	3841
gene-PA14_15980	CP000438.1	1361312	1361839	+	528	11029
gene-PA14_15990	CP000438.1	1361846	1362604	+	759	6469
gene-PA14_16000	CP000438.1	1362646	1362996	+	351	4263
gene-PA14_16010	CP000438.1	1363148	1363573	+	426	129
gene-PA14_16020	CP000438.1	1363643	1364329	-	687	1022
gene-PA14_16030	CP000438.1	1364442	1366277	-	1836	3157
gene-PA14_16040	CP000438.1	1366492	1367388	+	897	704
gene-PA14_16050	CP000438.1	1367515	1368243	+	729	7007
gene-PA14_16070	CP000438.1	1368457	1369761	+	1305	6677
gene-PA14_16090	CP000438.1	1369814	1371223	+	1410	4879
gene-PA14_16100	CP000438.1	1371277	1372497	-	1221	437
gene-PA14_16110	CP000438.1	1372594	1372878	+	285	583
gene-PA14_16130	CP000438.1	1373065	1374294	-	1230	1841
gene-PA14_16140	CP000438.1	1374776	1375219	+	444	9533
gene-PA14_16150	CP000438.1	1375234	1375929	+	696	8177
gene-PA14_16160	CP000438.1	1375985	1376626	+	642	3167
gene-PA14_16180	CP000438.1	1376662	1378728	+	2067	21206
gene-PA14_16190	CP000438.1	1378878	1384118	+	5241	15935
gene-PA14_16200	CP000438.1	1384137	1384829	+	693	810
gene-PA14_16210	CP000438.1	1384936	1385475	+	540	921
gene-PA14_16220	CP000438.1	1385519	1387234	+	1716	2164
gene-PA14_16250	CP000438.1	1387521	1389017	+	1497	127405
gene-PA14_16260	CP000438.1	1389187	1390293	+	1107	10830
gene-PA14_16270	CP000438.1	1390481	1390831	+	351	1786
gene-PA14_16280	CP000438.1	1390844	1391485	-	642	2287
gene-PA14_16290	CP000438.1	1391688	1392113	+	426	6929
gene-PA14_16300	CP000438.1	1392121	1392282	+	162	978
gene-PA14_16310	CP000438.1	1392430	1393671	+	1242	539
gene-PA14_16320	CP000438.1	1393758	1394099	-	342	714
gene-PA14_16330	CP000438.1	1394310	1396016	+	1707	5720
gene-PA14_16340	CP000438.1	1396095	1396898	-	804	929
gene-PA14_16350	CP000438.1	1397019	1397660	-	642	100
gene-PA14_16360	CP000438.1	1397984	1399846	-	1863	617
gene-PA14_16370	CP000438.1	1400168	1400863	+	696	4840
gene-PA14_16380	CP000438.1	1400900	1401805	-	906	425
gene-PA14_16390	CP000438.1	1401977	1403650	+	1674	4423
gene-PA14_16410	CP000438.1	1403759	1405378	+	1620	832
gene-PA14_16430	CP000438.1	1405645	1407273	+	1629	3578
gene-PA14_16440	CP000438.1	1407278	1407793	+	516	1365
gene-PA14_16450	CP000438.1	1407790	1409058	+	1269	1699
gene-PA14_16460	CP000438.1	1409051	1409740	+	690	763
gene-PA14_16470	CP000438.1	1409737	1412046	+	2310	2592
gene-PA14_16480	CP000438.1	1412043	1413050	+	1008	1406
gene-PA14_16500	CP000438.1	1413158	1414201	+	1044	1182
gene-PA14_16510	CP000438.1	1414421	1415419	+	999	4400
gene-PA14_16530	CP000438.1	1415600	1417105	+	1506	4700
gene-PA14_16550	CP000438.1	1417317	1418030	+	714	1145
gene-PA14_16560	CP000438.1	1418127	1418678	+	552	1875
gene-PA14_16580	CP000438.1	1418687	1419982	+	1296	5322
gene-PA14_16590	CP000438.1	1420051	1420797	+	747	2422
gene-PA14_16600	CP000438.1	1420794	1421699	+	906	2654
gene-PA14_16610	CP000438.1	1421696	1422019	+	324	1836
gene-PA14_16620	CP000438.1	1422016	1422537	+	522	1490
gene-PA14_16630	CP000438.1	1422613	1423398	-	786	36697
gene-PA14_16640	CP000438.1	1423447	1423851	-	405	24729
gene-PA14_16660	CP000438.1	1424253	1426481	-	2229	10740
gene-PA14_16670	CP000438.1	1426595	1427065	+	471	1534
gene-PA14_16680	CP000438.1	1427074	1427418	-	345	3030
gene-PA14_16690	CP000438.1	1427626	1430262	+	2637	6660
gene-PA14_16700	CP000438.1	1430423	1431070	+	648	9001
gene-PA14_16710	CP000438.1	1431174	1431854	+	681	1534
gene-PA14_16720	CP000438.1	1431928	1432275	+	348	474
gene-PA14_16730	CP000438.1	1432294	1433160	+	867	514
gene-PA14_16740	CP000438.1	1433233	1434057	+	825	1184
gene-PA14_16750	CP000438.1	1434062	1434757	+	696	620
gene-PA14_16770	CP000438.1	1434813	1435598	+	786	890
gene-PA14_16780	CP000438.1	1435627	1436904	+	1278	1158
gene-PA14_16790	CP000438.1	1436911	1437549	-	639	2306
gene-PA14_16800	CP000438.1	1437645	1438748	+	1104	2616
gene-PA14_16820	CP000438.1	1438753	1441830	+	3078	6749
gene-PA14_16830	CP000438.1	1441873	1442553	-	681	1190
gene-PA14_16840	CP000438.1	1442690	1443088	-	399	1642
gene-PA14_16860	CP000438.1	1443231	1445735	-	2505	2882
gene-PA14_16870	CP000438.1	1446019	1446942	+	924	379
gene-PA14_16880	CP000438.1	1446939	1447673	+	735	210
gene-PA14_16890	CP000438.1	1447684	1449531	+	1848	628
gene-PA14_16910	CP000438.1	1449535	1450515	+	981	492
gene-PA14_16920	CP000438.1	1450522	1450944	-	423	305
gene-PA14_16930	CP000438.1	1450941	1452146	-	1206	1440
gene-PA14_16950	CP000438.1	1452241	1453275	-	1035	4905
gene-PA14_16960	CP000438.1	1453305	1453928	-	624	1306
gene-PA14_16970	CP000438.1	1453941	1454288	-	348	825
gene-PA14_16980	CP000438.1	1454591	1454944	+	354	411
gene-PA14_16990	CP000438.1	1454959	1455252	-	294	1969
gene-PA14_17000	CP000438.1	1455574	1455933	-	360	19
gene-PA14_17010	CP000438.1	1456171	1457916	+	1746	1724
gene-PA14_17030	CP000438.1	1457967	1459175	-	1209	2161
gene-PA14_17040	CP000438.1	1459193	1461895	-	2703	3957
gene-PA14_17050	CP000438.1	1462062	1462847	-	786	5617
gene-PA14_17060	CP000438.1	1463112	1463852	+	741	24915
gene-PA14_17070	CP000438.1	1463983	1464852	+	870	15539
gene-PA14_17080	CP000438.1	1465051	1465788	+	738	5126
gene-PA14_17100	CP000438.1	1465791	1466348	+	558	11997
gene-PA14_17110	CP000438.1	1466364	1467119	+	756	6234
gene-PA14_17120	CP000438.1	1467113	1467928	+	816	3184
gene-PA14_17130	CP000438.1	1467925	1469115	+	1191	3415
gene-PA14_17140	CP000438.1	1469141	1470493	+	1353	5629
gene-PA14_17150	CP000438.1	1470564	1472948	+	2385	11687
gene-PA14_17170	CP000438.1	1472999	1473505	+	507	6966
gene-PA14_17180	CP000438.1	1473505	1474566	+	1062	7721
gene-PA14_17190	CP000438.1	1474612	1475052	+	441	3290
gene-PA14_17210	CP000438.1	1475049	1475825	+	777	5218
gene-PA14_17220	CP000438.1	1475829	1476965	+	1137	4590
gene-PA14_17230	CP000438.1	1476965	1477570	+	606	3179
gene-PA14_17250	CP000438.1	1477787	1479202	+	1416	2936
gene-PA14_17260	CP000438.1	1479332	1482853	+	3522	7309
gene-PA14_17270	CP000438.1	1483003	1483953	+	951	4288
gene-PA14_17280	CP000438.1	1484023	1485351	+	1329	1531
gene-PA14_17290	CP000438.1	1485522	1487150	+	1629	11230
gene-PA14_17310	CP000438.1	1487153	1487998	+	846	6096
gene-PA14_17320	CP000438.1	1488044	1489333	+	1290	13385
gene-PA14_17330	CP000438.1	1489398	1489682	+	285	1307
gene-PA14_17340	CP000438.1	1489702	1490406	+	705	1061
gene-PA14_17350	CP000438.1	1490467	1490715	-	249	546
gene-PA14_17370	CP000438.1	1490681	1491907	-	1227	2082
gene-PA14_17380	CP000438.1	1491983	1492891	-	909	267
gene-PA14_17400	CP000438.1	1493023	1494135	+	1113	5164
gene-PA14_17410	CP000438.1	1494189	1495040	+	852	2251
gene-PA14_17420	CP000438.1	1495111	1495584	+	474	1457
gene-PA14_17440	CP000438.1	1495581	1496648	+	1068	2680
gene-PA14_17450	CP000438.1	1496636	1497385	+	750	1929
gene-PA14_17460	CP000438.1	1497418	1498053	+	636	4174
gene-PA14_17470	CP000438.1	1498099	1498992	+	894	57986
gene-PA14_17480	CP000438.1	1499097	1500101	+	1005	66202
gene-PA14_17490	CP000438.1	1500527	1500850	-	324	2679
gene-PA14_17500	CP000438.1	1500917	1503484	-	2568	3932
gene-PA14_17510	CP000438.1	1503610	1504617	-	1008	921
gene-PA14_17520	CP000438.1	1504765	1505271	+	507	719
gene-PA14_17530	CP000438.1	1505405	1506445	+	1041	8691
gene-PA14_17540	CP000438.1	1506451	1506912	+	462	1606
gene-PA14_17550	CP000438.1	1506934	1508004	-	1071	7349
gene-PA14_17570	CP000438.1	1508087	1509490	-	1404	13512
gene-PA14_17580	CP000438.1	1509670	1512075	+	2406	27814
gene-PA14_17590	CP000438.1	1512199	1512420	-	222	609
gene-PA14_17600	CP000438.1	1512439	1512849	-	411	1323
gene-PA14_17610	CP000438.1	1513025	1514089	-	1065	244
gene-PA14_17620	CP000438.1	1514178	1514948	-	771	66
gene-PA14_17630	CP000438.1	1514941	1515834	-	894	82
gene-PA14_17640	CP000438.1	1515839	1516930	-	1092	80
gene-PA14_17650	CP000438.1	1517189	1517905	+	717	323
gene-PA14_17660	CP000438.1	1517909	1518835	-	927	434
gene-PA14_17670	CP000438.1	1518968	1519621	+	654	1957
gene-PA14_17675	CP000438.1	1519693	1520064	+	372	335
gene-PA14_17690	CP000438.1	1520134	1521744	-	1611	4025
gene-PA14_17700	CP000438.1	1521988	1522251	+	264	151
gene-PA14_17710	CP000438.1	1522251	1522403	+	153	86
gene-PA14_17720	CP000438.1	1522431	1523216	-	786	629
gene-PA14_17730	CP000438.1	1523344	1524159	+	816	557
gene-PA14_17740	CP000438.1	1524359	1525681	+	1323	167
gene-PA14_17760	CP000438.1	1525771	1526844	+	1074	213
gene-PA14_17780	CP000438.1	1526841	1528250	-	1410	109
gene-PA14_17790	CP000438.1	1528469	1529356	-	888	188
gene-PA14_17810	CP000438.1	1529470	1531197	+	1728	96
gene-PA14_17820	CP000438.1	1531236	1532423	+	1188	80
gene-PA14_17850	CP000438.1	1532483	1533280	+	798	28
gene-PA14_17860	CP000438.1	1533277	1534809	+	1533	240
gene-PA14_17880	CP000438.1	1534832	1536037	+	1206	30
gene-PA14_17890	CP000438.1	1536090	1537340	+	1251	59
gene-PA14_17900	CP000438.1	1537346	1538266	-	921	2408
gene-PA14_17910	CP000438.1	1538565	1539551	+	987	46
gene-PA14_17920	CP000438.1	1539568	1539897	-	330	276
gene-PA14_17930	CP000438.1	1540030	1541568	-	1539	5883
gene-PA14_17940	CP000438.1	1541847	1542602	-	756	1171
gene-PA14_17960	CP000438.1	1542808	1544325	-	1518	3066
gene-PA14_17980	CP000438.1	1544365	1545204	-	840	1425
gene-PA14_17990	CP000438.1	1545469	1545939	+	471	519
