# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./references/genomic.gtf" "./results/bowtie2/wt_1_dark_T1.bam" "--minOverlap" "30" "-s" "2" "-p" "-t" "gene" "-o" "./results/featureCounts_30/wt_1_dark_T1.txt" 
Geneid	Chr	Start	End	Strand	Length	./results/bowtie2/wt_1_dark_T1.bam
PA14_13370	CP000438.1	1150420	1150803	-	384	3653
PA14_13380	CP000438.1	1150796	1151323	-	528	6026
PA14_13390	CP000438.1	1151320	1151715	-	396	5411
PA14_13410	CP000438.1	1152100	1153683	-	1584	4809
PA14_13420	CP000438.1	1153904	1154365	+	462	2658
PA14_13430	CP000438.1	1154465	1156819	-	2355	2303
PA14_13450	CP000438.1	1156914	1157867	-	954	138
PA14_13460	CP000438.1	1157864	1158373	-	510	340
PA14_13470	CP000438.1	1158474	1159355	-	882	866
PA14_13490	CP000438.1	1159481	1160383	+	903	261
PA14_13500	CP000438.1	1160401	1161378	-	978	2411
PA14_13510	CP000438.1	1161473	1162426	-	954	1462
PA14_13520	CP000438.1	1162672	1164162	+	1491	444
PA14_13530	CP000438.1	1164159	1166354	+	2196	324
PA14_13560	CP000438.1	1166581	1167489	+	909	181
PA14_13580	CP000438.1	1167617	1168780	-	1164	8134
PA14_13590	CP000438.1	1168793	1169455	-	663	3554
PA14_13600	CP000438.1	1169455	1170390	-	936	5718
PA14_13610	CP000438.1	1170390	1171112	-	723	2818
PA14_13620	CP000438.1	1171554	1172828	+	1275	1588
PA14_13630	CP000438.1	1172887	1173132	-	246	550
PA14_13650	CP000438.1	1173163	1174062	-	900	1622
PA14_13660	CP000438.1	1174167	1174823	-	657	103
PA14_13670	CP000438.1	1174918	1175304	-	387	382
PA14_13680	CP000438.1	1175325	1176155	-	831	2391
PA14_13690	CP000438.1	1176243	1176992	-	750	4397
PA14_13710	CP000438.1	1177008	1177472	-	465	2487
PA14_13720	CP000438.1	1177638	1178033	-	396	10909
PA14_13730	CP000438.1	1178118	1178777	-	660	5994
PA14_13740	CP000438.1	1178774	1180642	-	1869	5576
PA14_13750	CP000438.1	1180817	1182112	+	1296	1531
PA14_13770	CP000438.1	1182125	1183531	+	1407	794
PA14_13780	CP000438.1	1183607	1187392	+	3786	1016
PA14_13800	CP000438.1	1187404	1188945	+	1542	468
PA14_13810	CP000438.1	1188951	1189691	+	741	121
PA14_13830	CP000438.1	1189694	1190377	+	684	110
PA14_13840	CP000438.1	1190432	1191250	+	819	191
PA14_13850	CP000438.1	1191307	1192296	+	990	148
PA14_13860	CP000438.1	1192303	1192482	-	180	301
PA14_13870	CP000438.1	1192617	1193000	-	384	190
PA14_13880	CP000438.1	1193043	1193138	-	96	2
PA14_13890	CP000438.1	1193191	1194201	-	1011	325
PA14_13900	CP000438.1	1194757	1195158	-	402	275
PA14_13910	CP000438.1	1195176	1195316	-	141	91
PA14_13920	CP000438.1	1195465	1195623	+	159	37
PA14_13940	CP000438.1	1196245	1197924	+	1680	1331
PA14_13950	CP000438.1	1197924	1198262	+	339	1558
PA14_13960	CP000438.1	1198334	1198426	-	93	6
PA14_13970	CP000438.1	1198431	1198694	-	264	24
PA14_13990	CP000438.1	1199242	1200033	+	792	1405
PA14_14000	CP000438.1	1200057	1200689	-	633	560
PA14_14010	CP000438.1	1200752	1201879	-	1128	754
PA14_14020	CP000438.1	1201902	1202849	-	948	957
PA14_14040	CP000438.1	1203010	1204203	-	1194	11597
PA14_14060	CP000438.1	1204817	1206715	+	1899	5869
PA14_14080	CP000438.1	1206731	1207378	-	648	11232
PA14_14100	CP000438.1	1207659	1208684	+	1026	5875
PA14_14110	CP000438.1	1208798	1209514	+	717	3453
PA14_14130	CP000438.1	1209585	1210067	+	483	3068
PA14_14140	CP000438.1	1210134	1210835	+	702	2531
PA14_14150	CP000438.1	1210828	1211142	+	315	1362
PA14_14160	CP000438.1	1211171	1211860	+	690	3905
PA14_14170	CP000438.1	1211981	1212916	+	936	7244
PA14_14200	CP000438.1	1212920	1213672	+	753	2201
PA14_14210	CP000438.1	1213761	1214672	+	912	2156
PA14_14220	CP000438.1	1214715	1215719	-	1005	3454
PA14_14230	CP000438.1	1215812	1217167	-	1356	5434
PA14_14250	CP000438.1	1217241	1217711	-	471	1716
PA14_14270	CP000438.1	1217815	1218357	+	543	4486
PA14_14280	CP000438.1	1218347	1219243	-	897	445
PA14_14290	CP000438.1	1219367	1219978	+	612	1470
PA14_14300	CP000438.1	1220135	1221262	-	1128	249
PA14_14310	CP000438.1	1221193	1221495	-	303	489
PA14_14320	CP000438.1	1221589	1222182	+	594	469
PA14_14330	CP000438.1	1222474	1222824	-	351	129
PA14_14340	CP000438.1	1223012	1224022	-	1011	1041
PA14_14360	CP000438.1	1224114	1225946	-	1833	6153
PA14_14370	CP000438.1	1226065	1226859	-	795	3213
PA14_14380	CP000438.1	1226862	1227752	-	891	2016
PA14_14390	CP000438.1	1227836	1228813	-	978	15612
PA14_14400	CP000438.1	1228936	1229070	+	135	31
PA14_14420	CP000438.1	1229163	1229642	+	480	545
PA14_14430	CP000438.1	1231207	1231584	+	378	333
PA14_14440	CP000438.1	1231581	1234433	-	2853	25673
PA14_14450	CP000438.1	1234554	1234922	-	369	1171
PA14_14460	CP000438.1	1234934	1235362	-	429	1348
PA14_14470	CP000438.1	1235359	1236846	-	1488	15668
PA14_14480	CP000438.1	1237183	1237995	+	813	1321
PA14_14490	CP000438.1	1238079	1239002	+	924	481
PA14_14500	CP000438.1	1239195	1240313	+	1119	2389
PA14_14510	CP000438.1	1240306	1241373	+	1068	3287
PA14_14520	CP000438.1	1241505	1242002	-	498	392
PA14_14530	CP000438.1	1242132	1243703	+	1572	1301
PA14_14540	CP000438.1	1243940	1244128	+	189	124
PA14_14550	CP000438.1	1244088	1244495	+	408	3069
PA14_14560	CP000438.1	1244524	1244649	-	126	26
PA14_14570	CP000438.1	1244743	1244826	-	84	24
PA14_14590	CP000438.1	1244929	1245972	+	1044	1611
PA14_14600	CP000438.1	1245985	1247103	+	1119	2289
PA14_14610	CP000438.1	1247147	1247485	+	339	3275
PA14_14630	CP000438.1	1247545	1249407	+	1863	19748
PA14_14650	CP000438.1	1249418	1250338	+	921	11829
PA14_14660	CP000438.1	1250522	1251070	+	549	10068
PA14_14680	CP000438.1	1251175	1251990	-	816	2899
PA14_14690	CP000438.1	1252142	1252915	+	774	2564
PA14_14700	CP000438.1	1252915	1253691	+	777	5150
PA14_14710	CP000438.1	1253836	1254327	+	492	7493
PA14_14730	CP000438.1	1254357	1255571	+	1215	21145
PA14_14740	CP000438.1	1255607	1255993	+	387	7789
PA14_14750	CP000438.1	1256021	1256344	+	324	6273
PA14_14770	CP000438.1	1256352	1256873	+	522	4352
PA14_14780	CP000438.1	1256916	1258775	+	1860	8395
PA14_14800	CP000438.1	1258782	1259120	+	339	2040
PA14_14810	CP000438.1	1259146	1259346	+	201	2029
PA14_14820	CP000438.1	1259590	1260021	+	432	11378
PA14_14830	CP000438.1	1260046	1261185	+	1140	10444
PA14_14850	CP000438.1	1261203	1261961	+	759	4069
PA14_14860	CP000438.1	1261958	1263001	+	1044	7351
PA14_14880	CP000438.1	1262998	1264113	+	1116	8735
PA14_14890	CP000438.1	1264132	1265421	+	1290	12169
PA14_14900	CP000438.1	1265448	1266092	+	645	11140
PA14_14910	CP000438.1	1266094	1267236	+	1143	20460
PA14_14930	CP000438.1	1267314	1268795	+	1482	13025
PA14_14940	CP000438.1	1269092	1270240	+	1149	5508
PA14_14960	CP000438.1	1270228	1271022	+	795	4085
PA14_14975	CP000438.1	1271156	1271743	+	588	4033
PA14_14990	CP000438.1	1271832	1272782	-	951	7393
PA14_15000	CP000438.1	1272963	1273418	+	456	926
PA14_15020	CP000438.1	1273472	1273804	+	333	717
PA14_15030	CP000438.1	1273874	1275652	-	1779	13960
PA14_15050	CP000438.1	1276025	1276486	+	462	2554
PA14_15070	CP000438.1	1276607	1278778	+	2172	31337
PA14_15080	CP000438.1	1278843	1280258	+	1416	8710
PA14_15090	CP000438.1	1280276	1280671	-	396	1649
PA14_15100	CP000438.1	1280758	1281606	-	849	1762
PA14_15110	CP000438.1	1281778	1282167	+	390	5173
PA14_15120	CP000438.1	1282296	1282772	+	477	9896
PA14_15130	CP000438.1	1282829	1283401	+	573	5717
PA14_15140	CP000438.1	1283436	1284065	-	630	162
PA14_15150	CP000438.1	1284186	1285139	+	954	865
PA14_15160	CP000438.1	1285136	1285843	-	708	514
PA14_15180	CP000438.1	1285902	1287182	-	1281	631
PA14_15190	CP000438.1	1287179	1287673	-	495	207
PA14_15200	CP000438.1	1287746	1288786	-	1041	1894
PA14_15210	CP000438.1	1288938	1289873	-	936	586
PA14_15230	CP000438.1	1289880	1291259	-	1380	2028
PA14_15240	CP000438.1	1291296	1292204	-	909	180
PA14_15250	CP000438.1	1292312	1293094	+	783	55
PA14_15260	CP000438.1	1293079	1294221	-	1143	13
PA14_15270	CP000438.1	1294251	1295408	-	1158	11
PA14_15280	CP000438.1	1295421	1296317	-	897	73
PA14_15290	CP000438.1	1296452	1297429	-	978	210
PA14_15310	CP000438.1	1297693	1299162	+	1470	26729
PA14_15340	CP000438.1	1299242	1300819	+	1578	25427
PA14_15350	CP000438.1	1301126	1302328	+	1203	3417
PA14_15360	CP000438.1	1302743	1303723	-	981	1647
PA14_15370	CP000438.1	1303857	1304084	-	228	26
PA14_15380	CP000438.1	1304052	1304930	+	879	128
PA14_15400	CP000438.1	1304902	1305789	+	888	436
PA14_15410	CP000438.1	1306031	1306231	-	201	30
PA14_15420	CP000438.1	1306243	1306407	-	165	29
PA14_15430	CP000438.1	1306410	1306970	-	561	277
PA14_15435	CP000438.1	1307101	1308090	-	990	713
PA14_15445	CP000438.1	1308087	1308323	-	237	243
PA14_15450	CP000438.1	1308320	1308685	-	366	418
PA14_15460	CP000438.1	1308703	1310388	-	1686	3830
PA14_15470	CP000438.1	1310460	1310735	-	276	722
PA14_15475	CP000438.1	1310748	1311098	-	351	206
PA14_15480	CP000438.1	1311170	1311604	+	435	2886
PA14_15490	CP000438.1	1311858	1312034	+	177	133
PA14_15500	CP000438.1	1312074	1312361	+	288	207
PA14_15510	CP000438.1	1312655	1313026	+	372	323
PA14_15520	CP000438.1	1313291	1314076	+	786	148
PA14_15530	CP000438.1	1314094	1314369	+	276	146
PA14_15540	CP000438.1	1314366	1315988	+	1623	1026
PA14_15560	CP000438.1	1316504	1316812	-	309	848
PA14_15570	CP000438.1	1317148	1317348	+	201	2447
PA14_15580	CP000438.1	1317407	1320187	+	2781	10486
PA14_15590	CP000438.1	1321218	1323335	+	2118	11256
PA14_15600	CP000438.1	1323328	1324512	+	1185	7605
PA14_15610	CP000438.1	1324805	1327411	+	2607	12839
PA14_15620	CP000438.1	1328012	1328974	+	963	87
PA14_15630	CP000438.1	1328895	1330193	+	1299	382
PA14_15650	CP000438.1	1330245	1331201	-	957	505
PA14_15660	CP000438.1	1331350	1332345	+	996	288
PA14_15670	CP000438.1	1332509	1333900	+	1392	5959
PA14_15680	CP000438.1	1333891	1334439	+	549	2013
PA14_15700	CP000438.1	1334828	1336084	+	1257	751
PA14_15710	CP000438.1	1336210	1336794	+	585	935
PA14_15720	CP000438.1	1336808	1338163	-	1356	1134
PA14_15740	CP000438.1	1338564	1342460	+	3897	19526
PA14_15750	CP000438.1	1342467	1342745	+	279	356
PA14_15770	CP000438.1	1342925	1343242	+	318	888
PA14_15780	CP000438.1	1343444	1345156	-	1713	1182
PA14_15790	CP000438.1	1345181	1347709	-	2529	3288
PA14_15810	CP000438.1	1347726	1348748	-	1023	1529
PA14_15820	CP000438.1	1348745	1349836	-	1092	1289
PA14_15830	CP000438.1	1349853	1350596	-	744	543
PA14_15840	CP000438.1	1350839	1351339	-	501	1638
PA14_15850	CP000438.1	1351402	1351956	-	555	958
PA14_15860	CP000438.1	1352097	1352708	+	612	4235
PA14_15870	CP000438.1	1352746	1353270	+	525	4784
PA14_15880	CP000438.1	1353267	1353461	+	195	642
PA14_15890	CP000438.1	1353499	1354680	+	1182	6762
PA14_15910	CP000438.1	1354682	1355431	+	750	2129
PA14_15920	CP000438.1	1355439	1356752	-	1314	314
PA14_15930	CP000438.1	1357056	1358348	-	1293	1840
PA14_15940	CP000438.1	1358361	1359161	-	801	2730
PA14_15960	CP000438.1	1359462	1360835	+	1374	9192
PA14_15970	CP000438.1	1361045	1361296	+	252	6005
PA14_15980	CP000438.1	1361312	1361839	+	528	16481
PA14_15990	CP000438.1	1361846	1362604	+	759	9086
PA14_16000	CP000438.1	1362646	1362996	+	351	9678
PA14_16010	CP000438.1	1363148	1363573	+	426	232
PA14_16020	CP000438.1	1363643	1364329	-	687	1666
PA14_16030	CP000438.1	1364442	1366277	-	1836	4925
PA14_16040	CP000438.1	1366492	1367388	+	897	1313
PA14_16050	CP000438.1	1367515	1368243	+	729	11569
PA14_16070	CP000438.1	1368457	1369761	+	1305	10889
PA14_16090	CP000438.1	1369814	1371223	+	1410	9047
PA14_16100	CP000438.1	1371277	1372497	-	1221	892
PA14_16110	CP000438.1	1372594	1372878	+	285	602
PA14_16130	CP000438.1	1373065	1374294	-	1230	3725
PA14_16140	CP000438.1	1374776	1375219	+	444	16825
PA14_16150	CP000438.1	1375234	1375929	+	696	10261
PA14_16160	CP000438.1	1375985	1376626	+	642	2694
PA14_16180	CP000438.1	1376662	1378728	+	2067	20289
PA14_16190	CP000438.1	1378878	1384118	+	5241	17702
PA14_16200	CP000438.1	1384137	1384829	+	693	2253
PA14_16210	CP000438.1	1384936	1385475	+	540	1932
PA14_16220	CP000438.1	1385519	1387234	+	1716	3729
PA14_16250	CP000438.1	1387521	1389017	+	1497	173286
PA14_16260	CP000438.1	1389187	1390293	+	1107	15143
PA14_16270	CP000438.1	1390481	1390831	+	351	2721
PA14_16280	CP000438.1	1390844	1391485	-	642	5125
PA14_16290	CP000438.1	1391688	1392113	+	426	17198
PA14_16300	CP000438.1	1392121	1392282	+	162	1028
PA14_16310	CP000438.1	1392430	1393671	+	1242	909
PA14_16320	CP000438.1	1393758	1394099	-	342	1099
PA14_16330	CP000438.1	1394310	1396016	+	1707	13149
PA14_16340	CP000438.1	1396095	1396898	-	804	2005
PA14_16350	CP000438.1	1397019	1397660	-	642	153
PA14_16360	CP000438.1	1397984	1399846	-	1863	1383
PA14_16370	CP000438.1	1400168	1400863	+	696	8000
PA14_16380	CP000438.1	1400900	1401805	-	906	763
PA14_16390	CP000438.1	1401977	1403650	+	1674	7400
PA14_16410	CP000438.1	1403759	1405378	+	1620	1557
PA14_16430	CP000438.1	1405645	1407273	+	1629	6421
PA14_16440	CP000438.1	1407278	1407793	+	516	1345
PA14_16450	CP000438.1	1407790	1409058	+	1269	2229
PA14_16460	CP000438.1	1409051	1409740	+	690	879
PA14_16470	CP000438.1	1409737	1412046	+	2310	3433
PA14_16480	CP000438.1	1412043	1413050	+	1008	2012
PA14_16500	CP000438.1	1413158	1414201	+	1044	2249
PA14_16510	CP000438.1	1414421	1415419	+	999	6558
PA14_16530	CP000438.1	1415600	1417105	+	1506	9331
PA14_16550	CP000438.1	1417317	1418030	+	714	1965
PA14_16560	CP000438.1	1418127	1418678	+	552	2647
PA14_16580	CP000438.1	1418687	1419982	+	1296	8263
PA14_16590	CP000438.1	1420051	1420797	+	747	3002
PA14_16600	CP000438.1	1420794	1421699	+	906	3501
PA14_16610	CP000438.1	1421696	1422019	+	324	2072
PA14_16620	CP000438.1	1422016	1422537	+	522	1712
PA14_16630	CP000438.1	1422613	1423398	-	786	50238
PA14_16640	CP000438.1	1423447	1423851	-	405	31407
PA14_16660	CP000438.1	1424253	1426481	-	2229	23629
PA14_16670	CP000438.1	1426595	1427065	+	471	2366
PA14_16680	CP000438.1	1427074	1427418	-	345	4814
PA14_16690	CP000438.1	1427626	1430262	+	2637	12121
PA14_16700	CP000438.1	1430423	1431070	+	648	15014
PA14_16710	CP000438.1	1431174	1431854	+	681	2837
PA14_16720	CP000438.1	1431928	1432275	+	348	846
PA14_16730	CP000438.1	1432294	1433160	+	867	926
PA14_16740	CP000438.1	1433233	1434057	+	825	2422
PA14_16750	CP000438.1	1434062	1434757	+	696	944
PA14_16770	CP000438.1	1434813	1435598	+	786	1376
PA14_16780	CP000438.1	1435627	1436904	+	1278	1857
PA14_16790	CP000438.1	1436911	1437549	-	639	5030
PA14_16800	CP000438.1	1437645	1438748	+	1104	6145
PA14_16820	CP000438.1	1438753	1441830	+	3078	11818
PA14_16830	CP000438.1	1441873	1442553	-	681	2107
PA14_16840	CP000438.1	1442690	1443088	-	399	3278
PA14_16860	CP000438.1	1443231	1445735	-	2505	5299
PA14_16870	CP000438.1	1446019	1446942	+	924	742
PA14_16880	CP000438.1	1446939	1447673	+	735	317
PA14_16890	CP000438.1	1447684	1449531	+	1848	1222
PA14_16910	CP000438.1	1449535	1450515	+	981	857
PA14_16920	CP000438.1	1450522	1450944	-	423	459
PA14_16930	CP000438.1	1450941	1452146	-	1206	2542
PA14_16950	CP000438.1	1452241	1453275	-	1035	10101
PA14_16960	CP000438.1	1453305	1453928	-	624	1784
PA14_16970	CP000438.1	1453941	1454288	-	348	1235
PA14_16980	CP000438.1	1454591	1454944	+	354	607
PA14_16990	CP000438.1	1454959	1455252	-	294	3519
PA14_17000	CP000438.1	1455574	1455933	-	360	46
PA14_17010	CP000438.1	1456171	1457916	+	1746	2817
PA14_17030	CP000438.1	1457967	1459175	-	1209	4577
PA14_17040	CP000438.1	1459193	1461895	-	2703	6813
PA14_17050	CP000438.1	1462062	1462847	-	786	9781
PA14_17060	CP000438.1	1463112	1463852	+	741	50490
PA14_17070	CP000438.1	1463983	1464852	+	870	32655
PA14_17080	CP000438.1	1465051	1465788	+	738	9157
PA14_17100	CP000438.1	1465791	1466348	+	558	21940
PA14_17110	CP000438.1	1466364	1467119	+	756	9671
PA14_17120	CP000438.1	1467113	1467928	+	816	4929
PA14_17130	CP000438.1	1467925	1469115	+	1191	6187
PA14_17140	CP000438.1	1469141	1470493	+	1353	10338
PA14_17150	CP000438.1	1470564	1472948	+	2385	20403
PA14_17170	CP000438.1	1472999	1473505	+	507	10172
PA14_17180	CP000438.1	1473505	1474566	+	1062	11639
PA14_17190	CP000438.1	1474612	1475052	+	441	4148
PA14_17210	CP000438.1	1475049	1475825	+	777	7348
PA14_17220	CP000438.1	1475829	1476965	+	1137	7196
PA14_17230	CP000438.1	1476965	1477570	+	606	5792
PA14_17250	CP000438.1	1477787	1479202	+	1416	7006
PA14_17260	CP000438.1	1479332	1482853	+	3522	13892
PA14_17270	CP000438.1	1483003	1483953	+	951	8151
PA14_17280	CP000438.1	1484023	1485351	+	1329	2782
PA14_17290	CP000438.1	1485522	1487150	+	1629	19055
PA14_17310	CP000438.1	1487153	1487998	+	846	9517
PA14_17320	CP000438.1	1488044	1489333	+	1290	27709
PA14_17330	CP000438.1	1489398	1489682	+	285	2298
PA14_17340	CP000438.1	1489702	1490406	+	705	1602
PA14_17350	CP000438.1	1490467	1490715	-	249	732
PA14_17370	CP000438.1	1490681	1491907	-	1227	4945
PA14_17380	CP000438.1	1491983	1492891	-	909	510
PA14_17400	CP000438.1	1493023	1494135	+	1113	9441
PA14_17410	CP000438.1	1494189	1495040	+	852	3901
PA14_17420	CP000438.1	1495111	1495584	+	474	2032
PA14_17440	CP000438.1	1495581	1496648	+	1068	4370
PA14_17450	CP000438.1	1496636	1497385	+	750	2777
PA14_17460	CP000438.1	1497418	1498053	+	636	5796
PA14_17470	CP000438.1	1498099	1498992	+	894	69508
PA14_17480	CP000438.1	1499097	1500101	+	1005	92954
PA14_17490	CP000438.1	1500527	1500850	-	324	5024
PA14_17500	CP000438.1	1500917	1503484	-	2568	7239
PA14_17510	CP000438.1	1503610	1504617	-	1008	1621
PA14_17520	CP000438.1	1504765	1505271	+	507	1350
PA14_17530	CP000438.1	1505405	1506445	+	1041	15271
PA14_17540	CP000438.1	1506451	1506912	+	462	1884
PA14_17550	CP000438.1	1506934	1508004	-	1071	13982
PA14_17570	CP000438.1	1508087	1509490	-	1404	38350
PA14_17580	CP000438.1	1509670	1512075	+	2406	80552
PA14_17590	CP000438.1	1512199	1512420	-	222	735
PA14_17600	CP000438.1	1512439	1512849	-	411	1792
PA14_17610	CP000438.1	1513025	1514089	-	1065	503
PA14_17620	CP000438.1	1514178	1514948	-	771	64
PA14_17630	CP000438.1	1514941	1515834	-	894	200
PA14_17640	CP000438.1	1515839	1516930	-	1092	129
PA14_17650	CP000438.1	1517189	1517905	+	717	580
PA14_17660	CP000438.1	1517909	1518835	-	927	768
PA14_17670	CP000438.1	1518968	1519621	+	654	3560
PA14_17675	CP000438.1	1519693	1520064	+	372	497
PA14_17690	CP000438.1	1520134	1521744	-	1611	7207
PA14_17700	CP000438.1	1521988	1522251	+	264	255
PA14_17710	CP000438.1	1522251	1522403	+	153	100
PA14_17720	CP000438.1	1522431	1523216	-	786	1228
PA14_17730	CP000438.1	1523344	1524159	+	816	789
PA14_17740	CP000438.1	1524359	1525681	+	1323	156
PA14_17760	CP000438.1	1525771	1526844	+	1074	375
PA14_17780	CP000438.1	1526841	1528250	-	1410	205
PA14_17790	CP000438.1	1528469	1529356	-	888	394
PA14_17810	CP000438.1	1529470	1531197	+	1728	163
PA14_17820	CP000438.1	1531236	1532423	+	1188	134
PA14_17850	CP000438.1	1532483	1533280	+	798	42
PA14_17860	CP000438.1	1533277	1534809	+	1533	393
PA14_17880	CP000438.1	1534832	1536037	+	1206	40
PA14_17890	CP000438.1	1536090	1537340	+	1251	159
PA14_17900	CP000438.1	1537346	1538266	-	921	4409
PA14_17910	CP000438.1	1538565	1539551	+	987	129
PA14_17920	CP000438.1	1539568	1539897	-	330	411
PA14_17930	CP000438.1	1540030	1541568	-	1539	8830
PA14_17940	CP000438.1	1541847	1542602	-	756	1663
PA14_17960	CP000438.1	1542808	1544325	-	1518	4188
PA14_17980	CP000438.1	1544365	1545204	-	840	2759
PA14_17990	CP000438.1	1545469	1545939	+	471	797
PA14_18010	CP000438.1	1546003	1547487	+	1485	1547
PA14_18020	CP000438.1	1547683	1548468	+	786	2137
PA14_18040	CP000438.1	1549283	1549459	+	177	357
PA14_18050	CP000438.1	1549571	1549993	-	423	2754
PA14_18060	CP000438.1	1550092	1550622	-	531	643
PA14_18070	CP000438.1	1550805	1551002	+	198	3424
PA14_18080	CP000438.1	1550981	1551619	-	639	1173
PA14_18090	CP000438.1	1551985	1553163	+	1179	634
PA14_18100	CP000438.1	1553171	1553347	-	177	1163
PA14_18110	CP000438.1	1553474	1554397	-	924	702
PA14_18120	CP000438.1	1554529	1556022	+	1494	43158
PA14_18140	CP000438.1	1556038	1556934	+	897	15045
PA14_18150	CP000438.1	1557036	1558922	+	1887	3445
PA14_18160	CP000438.1	1558980	1559993	-	1014	2816
PA14_18180	CP000438.1	1560015	1560308	-	294	853
PA14_18200	CP000438.1	1560404	1561324	+	921	637
PA14_18210	CP000438.1	1561612	1562289	-	678	634
PA14_18230	CP000438.1	1562402	1563391	-	990	2597
PA14_18250	CP000438.1	1563719	1566589	+	2871	2068
PA14_18260	CP000438.1	1566589	1567533	+	945	1035
PA14_18275	CP000438.1	1567535	1569292	+	1758	1630
PA14_18300	CP000438.1	1569445	1570839	-	1395	1459
PA14_18310	CP000438.1	1570836	1571249	-	414	117
PA14_18320	CP000438.1	1571246	1571593	-	348	125
PA14_18330	CP000438.1	1571590	1573239	-	1650	476
PA14_18340	CP000438.1	1573236	1574123	-	888	331
PA14_18350	CP000438.1	1574120	1576108	-	1989	2138
PA14_18360	CP000438.1	1576105	1577124	-	1020	705
PA14_18370	CP000438.1	1577121	1578269	-	1149	1047
PA14_18380	CP000438.1	1578657	1580102	-	1446	498
PA14_18410	CP000438.1	1580299	1580949	-	651	152
PA14_18430	CP000438.1	1581022	1582197	-	1176	60
PA14_18450	CP000438.1	1582212	1583774	-	1563	170
PA14_18470	CP000438.1	1584016	1585119	-	1104	65
PA14_18480	CP000438.1	1585123	1586547	-	1425	97
PA14_18500	CP000438.1	1586560	1588191	-	1632	69
PA14_18510	CP000438.1	1588212	1589684	-	1473	67
PA14_18520	CP000438.1	1589681	1591108	-	1428	56
PA14_18550	CP000438.1	1591122	1592291	-	1170	88
PA14_18565	CP000438.1	1592374	1593867	-	1494	32
PA14_18580	CP000438.1	1593998	1595308	-	1311	101
PA14_18590	CP000438.1	1596211	1596990	-	780	3647
PA14_18600	CP000438.1	1597097	1598179	-	1083	4383
PA14_18610	CP000438.1	1598184	1599101	-	918	3738
PA14_18620	CP000438.1	1599380	1599847	+	468	1270
PA14_18630	CP000438.1	1600241	1603228	-	2988	17686
PA14_18640	CP000438.1	1603527	1605635	+	2109	1089
PA14_18650	CP000438.1	1605748	1606074	+	327	11877
PA14_18660	CP000438.1	1606157	1607308	+	1152	1817
PA14_18670	CP000438.1	1607376	1607852	-	477	11799
PA14_18680	CP000438.1	1608062	1608283	-	222	1671
PA14_18690	CP000438.1	1608543	1609145	+	603	33641
PA14_18700	CP000438.1	1609324	1609998	-	675	3666
PA14_18710	CP000438.1	1609995	1611041	-	1047	5038
PA14_18720	CP000438.1	1611174	1612139	+	966	2223
PA14_18740	CP000438.1	1612257	1613474	+	1218	13317
PA14_18750	CP000438.1	1613566	1613952	-	387	1393
PA14_18760	CP000438.1	1614329	1615486	+	1158	387
PA14_18780	CP000438.1	1615483	1618644	+	3162	1125
PA14_18790	CP000438.1	1618641	1620116	+	1476	368
PA14_18800	CP000438.1	1620687	1620881	+	195	5337
PA14_18810	CP000438.1	1621282	1622319	+	1038	1330
PA14_18820	CP000438.1	1622352	1623338	+	987	701
PA14_18830	CP000438.1	1623369	1624802	+	1434	595
PA14_18850	CP000438.1	1624802	1626253	+	1452	850
PA14_18860	CP000438.1	1626303	1627376	+	1074	863
PA14_18870	CP000438.1	1627576	1627755	-	180	690
PA14_18880	CP000438.1	1627864	1628502	-	639	706
PA14_18890	CP000438.1	1628499	1629215	-	717	395
PA14_18900	CP000438.1	1629208	1629852	-	645	448
PA14_18910	CP000438.1	1629852	1630886	-	1035	1187
PA14_18920	CP000438.1	1630889	1633213	-	2325	2252
PA14_18930	CP000438.1	1633210	1633776	-	567	662
PA14_18950	CP000438.1	1633773	1634357	-	585	1153
PA14_18960	CP000438.1	1634535	1635233	-	699	5258
PA14_18970	CP000438.1	1635662	1638973	-	3312	20257
PA14_18985	CP000438.1	1638977	1641403	-	2427	6819
PA14_19010	CP000438.1	1641698	1642135	-	438	773
PA14_19020	CP000438.1	1642132	1643358	-	1227	1967
PA14_19030	CP000438.1	1643445	1644245	-	801	2598
PA14_19050	CP000438.1	1644279	1646315	-	2037	16372
PA14_19065	CP000438.1	1646446	1647540	+	1095	7379
PA14_19090	CP000438.1	1647642	1648208	+	567	2116
PA14_19100	CP000438.1	1648632	1649519	+	888	23391
PA14_19110	CP000438.1	1649585	1650865	+	1281	9624
PA14_19120	CP000438.1	1650990	1651715	+	726	59281
PA14_19130	CP000438.1	1651896	1652501	+	606	18782
PA14_19140	CP000438.1	1652656	1653462	+	807	3136
PA14_19150	CP000438.1	1653556	1654416	+	861	1014
PA14_19160	CP000438.1	1654413	1655312	+	900	1203
PA14_19170	CP000438.1	1655333	1655929	-	597	1053
PA14_19190	CP000438.1	1656387	1658081	+	1695	11607
PA14_19205	CP000438.1	1658203	1658661	-	459	1107
PA14_19210	CP000438.1	1658658	1659200	-	543	1477
PA14_19230	CP000438.1	1659218	1660546	-	1329	3112
PA14_19270	CP000438.1	1660714	1662081	-	1368	138
PA14_19290	CP000438.1	1662267	1663607	+	1341	4583
PA14_19310	CP000438.1	1663729	1665444	-	1716	15755
PA14_19320	CP000438.1	1665661	1666986	+	1326	931
PA14_19330	CP000438.1	1667115	1667345	-	231	258
