,wt_light_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_14390,545.6536495851716,441.9478321470031,0.3041094160519516,1.36145963408918,cds-ABJ13102.1,PA14_14390,putative ABC-type transport protein%2C periplasmic c
gene-PA14_14400,0.7789014639666204,1.0964802896256056,-0.49336660367180873,0.5688857458243837,cds-ABJ13101.1,PA14_14400,hypothetical protein
gene-PA14_14420,12.182348737855415,14.214025011589884,-0.22252281658900327,0.6401045955245953,cds-ABJ13100.1,PA14_14420,hypothetical protein
gene-PA14_14430,10.280558132041435,8.203204742323749,0.32565901289337695,0.5950185387165269,cds-ABJ13099.1,PA14_14430,hypothetical protein
gene-PA14_14440,763.2882435008697,718.7600690820922,0.08671770861798497,1.114733529484432,cds-ABJ13098.1,valS,valyl-tRNA synthetase
gene-PA14_14450,21.253323145417315,33.62545122187384,-0.6618651652306673,2.3972676670300577,cds-ABJ13097.1,PA14_14450,conserved hypothetical protein
gene-PA14_14460,38.71855599691521,39.914351214083894,-0.043882411423085986,0.1583206997839401,cds-ABJ13096.1,holC,DNA polymerase holoenzyme chi subunit
gene-PA14_14470,515.0389006899418,454.20663743014507,0.18133261358852082,2.0122579226610235,cds-ABJ13095.1,pepA,leucine aminopeptidase
gene-PA14_14480,21.980761374382794,33.12350170582807,-0.591613816038744,1.9344883177920313,cds-ABJ13094.1,PA14_14480,putative transcriptional regulator
gene-PA14_14490,12.031674679479446,12.856284052602618,-0.09563623820450705,0.2966828693945218,cds-ABJ13093.1,PA14_14490,putative hydrolase
gene-PA14_14500,69.10765652025019,61.63448107228374,0.1651078702413686,0.9603501741294224,cds-ABJ13092.1,yjgP,putative permease
gene-PA14_14510,97.98926647875908,88.43940391676993,0.14793442535554857,1.5393436274957089,cds-ABJ13091.1,yjgQ,putative permease
gene-PA14_14520,10.462065212670195,11.191914515732506,-0.09728917141261839,0.4930652715945251,cds-ABJ13090.1,PA14_14520,putative membrane protein
gene-PA14_14530,30.364883720429408,39.110161484944875,-0.3651396377174124,1.1933841539783936,cds-ABJ13089.1,PA14_14530,putative membrane protein
gene-PA14_14540,18.971018167436323,6.602671666860876,1.5226751548774144,2.0355700629014644,cds-ABJ13088.1,PA14_14540,hypothetical protein
gene-PA14_14550,414.453234171877,146.62653243338823,1.4990631282120725,2.644277027374253,cds-ABJ13087.1,PA14_14550,hypothetical protein
gene-PA14_14560,1.2170119150010605,0.7033076731904507,0.791114558778745,1.634470325190229,cds-ABJ13086.1,PA14_14560,hypothetical protein
gene-PA14_14570,0.9865395235470444,0.4911886771794787,1.006098062148517,1.1994996127938828,,,
gene-PA14_14590,57.59892265903494,43.07257664256256,0.41927218942991834,2.4087216322069245,cds-ABJ13085.1,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
gene-PA14_14600,73.03327670509508,58.883592299684075,0.3106882667958106,0.9894035818663757,cds-ABJ13084.1,tgt,queuine tRNA-ribosyltransferase
gene-PA14_14610,184.7133031667856,89.84280157008386,1.0398129444107722,2.6623068931750344,cds-ABJ13083.1,yajC,putative preprotein translocase
gene-PA14_14630,719.3526068836458,550.6841329931841,0.3854740725556694,3.0336585927760615,cds-ABJ13082.1,secD,protein-export membrane protein SecD
gene-PA14_14650,401.49132290067655,317.776938869537,0.33735437551156294,2.007613269709175,cds-ABJ13081.1,secF,protein-export membrane protein SecF
gene-PA14_14660,266.951607678284,232.44557162115288,0.19968529567413343,0.49606121435597594,cds-ABJ13080.1,ycfJ,putative outer membrane protein
gene-PA14_14680,81.55146476554073,75.94658434892138,0.10272570658860969,0.37423666968721947,cds-ABJ13079.1,suhB,extragenic suppressor protein SuhB
gene-PA14_14690,83.38338442933731,65.21349140345986,0.3545894648179159,1.5303673647029215,cds-ABJ13078.1,PA14_14690,putative rRNA methylase
gene-PA14_14700,144.62438194787686,132.73676377472736,0.12374278734349872,0.7493834533165304,cds-ABJ13077.1,cysE,serine O-acetyltransferase
gene-PA14_14710,36.38069259358895,124.94666523583226,-1.7800674553225417,0.855548693126001,cds-ABJ13076.1,PA14_14710,putative Rrf2 family protein
gene-PA14_14730,453.551445338217,513.1863349261927,-0.17821655288371038,0.4430537809372773,cds-ABJ13075.1,iscS,cysteine desulfurase
gene-PA14_14740,202.30637856634743,198.52162791701258,0.027245617370803017,0.06822561452371206,cds-ABJ13074.1,iscU,putative iron-binding protein IscU
gene-PA14_14750,160.17837498169445,152.66138797905015,0.06934417485865339,0.16887891079096182,cds-ABJ13073.1,icsA,putative iron-binding protein IscA
gene-PA14_14770,84.894902323135,109.34769257394923,-0.3651729414068998,0.8015011155412374,cds-ABJ13072.1,hscB,heat shock protein HscB
gene-PA14_14780,191.81117863614182,207.86203346093362,-0.1159394675111323,0.22922888695664248,cds-ABJ13071.1,hscA,heat shock protein HscA
gene-PA14_14800,48.63301048553824,51.59721286695936,-0.0853572356061376,0.15450895903875878,cds-ABJ13070.1,fdx2,ferredoxin (2Fe-2S)
gene-PA14_14810,52.34789992437272,49.84066900742678,0.0708082256870242,0.17790035788951075,cds-ABJ13069.1,PA14_14810,conserved hypothetical protein
gene-PA14_14820,429.7523505311711,329.92322204934317,0.38137520219454263,2.716509371323242,cds-ABJ13068.1,ndk,nucleoside diphosphate kinase
gene-PA14_14830,395.81234423235793,284.2862243375455,0.47747241308700045,2.658593685123391,cds-ABJ13067.1,PA14_14830,putative Fe-S-cluster redox enzyme
gene-PA14_14850,126.93314829103379,110.9396406307764,0.19429391589645442,1.3127803523611192,cds-ABJ13066.1,pilF,type 4 fimbrial biogenesis protein PilF
gene-PA14_14860,173.25476287201505,202.71212712630052,-0.22653738508270926,1.53038065029431,cds-ABJ13065.1,PA14_14860,conserved hypothetical protein
gene-PA14_14880,224.80806064856358,246.04172203833446,-0.13020921259455703,0.7641734812170441,cds-ABJ13064.1,gcpE,putative isoprenoid biosynthetic protein
gene-PA14_14890,308.55533606269574,327.06321441770064,-0.08404026058398659,0.4987450327773138,cds-ABJ13063.1,hisS,histidyl-tRNA synthetase
gene-PA14_14900,292.45159198984715,309.52710569914944,-0.08186791085944245,0.6341323764145447,cds-ABJ13062.1,PA14_14900,conserved hypothetical protein
gene-PA14_14910,659.57585585153,532.9382986711458,0.3075700749895651,1.6860674560817843,cds-ABJ13061.1,PA14_14910,conserved hypothetical protein
gene-PA14_14930,387.4647011352736,335.0402779340375,0.20973033900130467,0.9666026667246768,cds-ABJ13060.1,engA,putative GTP-binding protein EngA
gene-PA14_14940,174.24463604399534,164.4255753097052,0.08367952614383038,0.9474813335194199,cds-ABJ13059.1,ybdL,putative aminotransferase
gene-PA14_14960,90.26742878752871,117.73512197897168,-0.3832673374649777,1.9307916827121965,cds-ABJ13058.1,yafV,putative amidohydrolase
gene-PA14_14975,133.99543200544076,114.2968300377667,0.22939842548599243,1.947416585278555,cds-ABJ15677.1,PA14_14975,hypothetical protein
gene-PA14_14990,495.80476769683486,186.24764659472226,1.4125499437407816,2.6930629949810174,cds-ABJ13057.1,mocA,putative oxidoreductase
gene-PA14_15000,42.24741125444428,25.739477747322116,0.7148801380671708,2.1459438317273705,cds-ABJ13056.1,PA14_15000,hypothetical protein
gene-PA14_15020,25.66094159521712,20.20643662762353,0.34475916674971263,1.5305229922529455,cds-ABJ13055.1,PA14_15020,hypothetical protein
gene-PA14_15030,387.0228339025596,399.2751318419223,-0.04496453266857609,0.7440119984683973,cds-ABJ13054.1,leuA,2-isopropylmalate synthase
gene-PA14_15050,69.07252933858562,80.70604148899406,-0.22456461763796368,0.7552800403511015,cds-ABJ13053.1,PA14_15050,conserved hypothetical protein
gene-PA14_15070,868.5530908277732,1005.0137711312273,-0.21052932739914698,0.5989962231446425,cds-ABJ13052.1,oprC,outer membrane copper receptor OprC
gene-PA14_15080,281.5805178138466,236.03701550965044,0.2545343963633167,2.5048751225035386,cds-ABJ13051.1,PA14_15080,putative iron-regulated membrane protein
gene-PA14_15090,47.752176312913775,40.30141896489982,0.24473584485890315,0.7150650017587037,cds-ABJ13050.1,PA14_15090,hypothetical protein
gene-PA14_15100,44.191920415677906,50.5308879726068,-0.19338290175525813,1.6704158094704433,cds-ABJ13049.1,PA14_15100,putative peptidase
gene-PA14_15110,91.29692715517274,161.46212176184673,-0.8225575400368003,2.2116435572000612,cds-ABJ13048.1,PA14_15110,conserved hypothetical protein
gene-PA14_15120,215.62579985814332,329.9065169742366,-0.6135274664269259,0.9699431429484188,cds-ABJ13047.1,PA14_15120,putative membrane or periplasmic protein
gene-PA14_15130,104.7983085067592,190.73080734532138,-0.8639224528588553,1.475354742887613,cds-ABJ13046.1,PA14_15130,conserved hypothetical protein
gene-PA14_15140,5.907536366601396,4.672333710447003,0.33841322144146824,0.6580944135383261,cds-ABJ13045.1,PA14_15140,conserved hypothetical protein
gene-PA14_15150,17.0756068683857,21.551218597951788,-0.33583257718381604,1.0306699825515189,cds-ABJ13044.1,PA14_15150,putative AraC-like transcriptional regulator
gene-PA14_15160,15.368367581551821,15.142440204364844,0.021366215210708705,0.0515078336431938,cds-ABJ13043.1,PA14_15160,conserved hypothetical protein
gene-PA14_15180,32.06961261748871,18.777945788920174,0.7721676467359531,1.3586301072445024,cds-ABJ13042.1,PA14_15180,putative ABC transport system%2C membrane protein
gene-PA14_15190,12.077504214211976,5.291388480382074,1.1906039562299287,2.1799091917958404,cds-ABJ13041.1,PA14_15190,putative TRAP-type C4-dicarboxylate transport protein
gene-PA14_15200,81.84650610661681,60.35397345794985,0.43947207017869955,1.4037993427741704,cds-ABJ13040.1,PA14_15200,putative TRAP-type C4-dicarboxylate transport
gene-PA14_15210,11.685338526506222,15.541016429446733,-0.41138130274374574,1.479452319575432,cds-ABJ13039.1,PA14_15210,putative transcriptional regulator%2C LysR family
gene-PA14_15230,56.79403437682424,54.449138710010374,0.06083016824961062,0.256995660141735,cds-ABJ13038.1,xseA,exodeoxyribonuclease VII large subunit
gene-PA14_15240,5.422422436995061,5.748309968018227,-0.08420033207915772,0.1888852008943899,cds-ABJ13037.1,PA14_15240,putative transcriptional regulator%2C LysR family
gene-PA14_15250,1.0498787414018456,1.3279961905193831,-0.3390280090493048,0.4206139489179541,cds-ABJ13036.1,PA14_15250,putative membrane protein
gene-PA14_15260,0.5202760535894481,0.7230570994515603,-0.47483149112446127,0.32427113515094486,cds-ABJ13035.1,PA14_15260,putative deacetylase
gene-PA14_15270,0.04359419631772248,0.20734456370441412,-2.24979593385309,0.7592008140101822,cds-ABJ13034.1,PA14_15270,putative permease
gene-PA14_15280,1.3844169106208708,2.090597644170559,-0.5946366045158537,0.8616548866557576,cds-ABJ13033.1,PA14_15280,conserved hypothetical protein
gene-PA14_15290,4.390663967038217,6.419429171687444,-0.5480057870969332,1.8189124354518482,cds-ABJ13032.1,PA14_15290,putative regulatory protein
gene-PA14_15310,639.3445841644575,783.0358143955619,-0.2924845919244391,1.126892773166137,cds-ABJ13031.1,guaB,inosine-5-monophosphate dehydrogenase
gene-PA14_15340,645.6853679786078,722.3720861334041,-0.16191081088761253,0.9036153722569958,cds-ABJ13030.1,guaA,GMP synthase
gene-PA14_15350,89.87718572000863,84.47926350801464,0.0893576924889324,0.3025420055702855,cds-ABJ13029.1,PA14_15350,putative integrase
gene-PA14_15360,56.041644454152625,43.525985097394425,0.36462233267020244,1.0729770244787764,cds-ABJ13028.1,PA14_15360,hypothetical protein
gene-PA14_15370,0.6897924242699705,0.81823618948303,-0.24635473238785902,0.21751504313332465,cds-ABJ13026.1,PA14_15370,hypothetical protein
gene-PA14_15380,2.923454937935261,3.4817027764720883,-0.25211861583309986,0.4112682546823107,cds-ABJ13027.1,repA,replicative helicase%2C RepA
gene-PA14_15400,10.83183982263641,10.800055952484426,0.00423952306877085,0.009700134296619733,cds-ABJ13025.1,repC,putative replication protein%2C RepC
gene-PA14_15410,0.8799153405279402,0.937752240188806,-0.09184197845151308,0.2130494992582563,,,
gene-PA14_15420,1.144030368566558,0.7247579623276624,0.6585534319649907,0.9032002047995942,,,
gene-PA14_15430,10.152630346813064,7.467847641043039,0.4430890992067216,1.0503813492497274,cds-ABJ13024.1,tnpR,putative resolvase%2C essential for transposition
gene-PA14_15435,30.84756171144279,20.6028755732774,0.5823107248081416,3.5738627187522556,cds-ABJ15638.1,PA14_15435,hypothetical protein
gene-PA14_15445,5.518347855557629,6.046133671790126,-0.13177645083770415,0.44155220906500176,cds-ABJ15637.1,merE,mercuric resistance protein MerE
gene-PA14_15450,18.131513190960266,11.947888064618388,0.601743664066871,2.0745524302357463,cds-ABJ13023.1,merD,Mercuric resistence transcriptional repressor protein MerD
gene-PA14_15460,133.52738308623012,105.79532359070451,0.33585977138724393,2.506977931976791,cds-ABJ13022.1,merA,Mercuric reductase MerA
gene-PA14_15470,28.21704511500859,21.330372350955717,0.4036577502893422,1.7287883493463936,cds-ABJ13021.1,merP,Periplasmic mercuric ion binding protein%2C MerP
gene-PA14_15475,10.234173115776377,4.98697762012608,1.0371567594563167,3.195700466525574,cds-ABJ15636.1,merT,Mercuric transport protein MerT
gene-PA14_15480,113.42256241261327,77.28536182919989,0.553440556121928,2.082321672902745,cds-ABJ13020.1,merR,Regulatory protein merR
gene-PA14_15490,3.067773483324563,2.9106748464593726,0.07583825227733673,0.10769886305237193,cds-ABJ13019.1,PA14_15490,hypothetical protein
gene-PA14_15500,6.40417208665648,5.772455277402976,0.149826959619519,0.22061632019431096,cds-ABJ13018.1,traK,possible oriT-binding protein%2C TraK
gene-PA14_15510,7.795885537908571,7.724874405868515,0.01320142956572679,0.016790704721651745,cds-ABJ13017.1,traJ,oriT-binding protein%2C TraJ
gene-PA14_15520,5.2163456452308266,4.099973959948711,0.347424645927068,0.6510917767669129,cds-ABJ13016.1,trbJ,mating pair formation protein TrbJ
gene-PA14_15530,1.521301210062937,3.617462372642091,-1.249671629739127,1.4105449248772277,cds-ABJ13015.1,trbK,possible entry/exclusion protein TrbK
gene-PA14_15540,16.14754833374552,26.712828997539827,-0.7262175972037148,2.32750033483004,cds-ABJ13014.1,trbL,putative mating pair formation protein TrbL
gene-PA14_15560,33.032949601435256,25.26479999552528,0.3867770248526208,2.0382624749410354,cds-ABJ13013.1,PA14_15560,hypothetical protein
gene-PA14_15570,49.443490545370565,58.55635064351841,-0.24404504373519212,0.4209643709171501,cds-ABJ13012.1,PA14_15570,hypothetical protein
gene-PA14_15580,328.99469169799295,275.4481952099109,0.256283295410084,0.9801149337824685,cds-ABJ13011.1,PA14_15580,possible Type II restriction enzyme%2C methylase subunit
gene-PA14_15590,316.1919846261122,308.11743856186075,0.03732045906145586,0.17165939728270777,cds-ABJ13010.1,PA14_15590,conserved hypothetical protein
gene-PA14_15600,193.83592579597612,205.64612160715737,-0.0853278766273884,0.5507580474386078,cds-ABJ13009.1,PA14_15600,conserved hypothetical protein
gene-PA14_15610,332.43083318446116,365.5177006506029,-0.1368870725267482,1.8641696520666249,cds-ABJ13008.1,PA14_15610,conserved hypothetical protein
gene-PA14_15620,1.6627168955543257,1.9936052757121987,-0.26183709901510144,0.3504050094922197,cds-ABJ13007.1,PA14_15620,possible dehydrogenase
gene-PA14_15630,10.961515232395621,10.203737790494744,0.10334949787562123,0.3593837593754919,cds-ABJ13006.1,PA14_15630,hypothetical protein
gene-PA14_15650,15.932796995326902,15.666554837771036,0.024311593957192103,0.06078800575013873,cds-ABJ13005.1,PA14_15650,conserved hypothetical protein
gene-PA14_15660,8.114192541588787,7.1426801832521924,0.18398198685896588,0.8058775487453363,cds-ABJ13004.1,PA14_15660,probable oxidoreductase
gene-PA14_15670,72.47018463872264,156.64359700314375,-1.1120263131187162,2.345043777717645,cds-ABJ13003.1,cumA,putative multicopper oxidase
gene-PA14_15680,30.575890566021325,52.722819320177564,-0.7860329797920412,2.3791956323427255,cds-ABJ13002.1,cumB,putative Cytosine/adenosine deaminase
gene-PA14_15700,14.900611292564298,18.58845564473864,-0.31903537677527977,0.8430242777331691,cds-ABJ13001.1,PA14_15700,putative amino acid permease
gene-PA14_15710,10.329480479809733,23.45418206297212,-1.183077414941369,2.0526581078121984,cds-ABJ13000.1,PA14_15710,conserved hypothetical protein
gene-PA14_15720,27.951498752021404,27.60450828645084,0.018021738496331336,0.027335616450607895,cds-ABJ12999.1,yfhD,putative periplasmic binding transport protein
gene-PA14_15740,509.3964323324188,569.3062081480751,-0.16041597633719976,0.8988880301214376,cds-ABJ12998.1,purL,phosphoribosylformylglycinamidine synthase
gene-PA14_15750,6.204834074624568,9.436572475449998,-0.6048702317582073,1.3453424553889275,cds-ABJ12997.1,PA14_15750,conserved hypothetical protein
gene-PA14_15770,30.425282448923742,19.45531060931292,0.6451066156435905,1.2724372183659862,cds-ABJ12996.1,PA14_15770,conserved hypothetical protein
gene-PA14_15780,30.263028985800947,27.481233789467712,0.13910961090191562,0.1858092661295574,cds-ABJ12995.1,nagE,putative Phosphotransferase system%2C N-acetylglucosamine-specific enzyme IIABC
gene-PA14_15790,81.75947886613856,76.90031898287752,0.08839641695805672,0.10169745109994868,cds-ABJ12994.1,nagF,putative phosphoenolpyruvate-protein phosphotransferase
gene-PA14_15810,44.53203940923634,35.68506895441792,0.3195231153068741,0.4891324166629727,cds-ABJ12993.1,glmS,putative glucosamine-fructose-6-phosphate aminotransferase
gene-PA14_15820,33.7356009025333,35.38087955594117,-0.06869805183147776,0.11295271854400658,cds-ABJ12992.1,nagA,putative N-acetylglucosamine-6-phosphate deacetylase
gene-PA14_15830,13.704576136873888,13.840333332998718,-0.01422098013279376,0.013446666686813566,cds-ABJ12991.1,PA14_15830,putative transcriptional regulator%2C GntR family
gene-PA14_15840,33.94960116644522,45.308307755026476,-0.4163809710653836,1.6082318297924372,cds-ABJ12990.1,PA14_15840,conserved hypothetical protein
gene-PA14_15850,22.76931272685955,26.926971288641322,-0.2419612110649016,0.6481366748374677,cds-ABJ12989.1,PA14_15850,MutT/nudix family protein
gene-PA14_15860,103.68749834899423,120.27880757777397,-0.2141405103384679,1.0875548330134241,cds-ABJ12988.1,PA14_15860,putative NUDIX hydrolase
gene-PA14_15870,139.84555423791093,127.41901766894061,0.13425376930480631,0.8026909671907029,cds-ABJ12987.1,PA14_15870,putative acetyltransferase
gene-PA14_15880,16.549556040929925,17.15150654758153,-0.05154278603431388,0.4101025293162881,cds-ABJ12986.1,PA14_15880,conserved hypothetical protein
gene-PA14_15890,213.3312030128294,195.20277196736984,0.1281214571454831,1.9055809519957836,cds-ABJ12985.1,purT,phosphoribosylglycinamide formyltransferase 2
gene-PA14_15910,44.192223771041746,59.625274716924956,-0.4321314697547199,1.6390120499461613,cds-ABJ12984.1,PA14_15910,putative Lysophospholipase
gene-PA14_15920,5.1357236050228625,7.737455399593955,-0.5912915318630269,1.1722766948952394,cds-ABJ12983.1,yhjE,putative major facilitator family transporter
gene-PA14_15930,33.87356275229666,47.95233530477767,-0.5014413298660073,1.6059707577292546,cds-ABJ12982.1,yfjD,putative hemolysin containing a CBS domain
gene-PA14_15940,62.25426112422159,72.41190115240998,-0.2180542366981033,0.45416972718312115,cds-ABJ12981.1,PA14_15940,putative ABC-type transport permease
gene-PA14_15960,304.4658801496267,251.18140854429626,0.2775508755272565,3.2233600417843715,cds-ABJ12980.1,ffh,signal recognition particle protein Ffh
gene-PA14_15970,242.75276022339054,167.84903896391617,0.5323234204837651,3.8830441987480238,cds-ABJ12979.1,rpsP,30S ribosomal protein S16
gene-PA14_15980,639.4829872163368,456.6083939014905,0.48594859620976777,2.673833733513649,cds-ABJ12978.1,rimM,16S rRNA processing protein RimM
gene-PA14_15990,485.35951201120844,230.14994283763141,1.0764796784173518,3.0380174941301377,cds-ABJ12977.1,trmD,tRNA (guanine-N1)-methyltransferase
gene-PA14_16000,333.1936492011316,250.51160896751603,0.4114834402534358,1.7749567434597207,cds-ABJ12976.1,rplS,50S ribosomal protein L19
gene-PA14_16010,6.412912794918988,6.283459602680026,0.02942067471293788,0.04416296561123434,cds-ABJ12975.1,PA14_16010,putative ong-chain acyl-CoA thioester hydrolase
gene-PA14_16020,49.53673162220048,52.64169296574773,-0.087707201077784,0.4216070599392832,cds-ABJ12974.1,PA14_16020,conserved hypothetical protein
gene-PA14_16030,384.5185174590736,124.56543097543154,1.6261493170904964,2.1824096076019757,cds-ABJ12973.1,PA14_16030,putative sodium/hydrogen exchanger
gene-PA14_16040,33.08022808286156,35.71095144727406,-0.11039738724866524,0.8661417177805075,cds-ABJ12972.1,xerD,integrase/recombinase XerD
gene-PA14_16050,415.5736655684506,299.9892659674649,0.4701933538325532,2.058857939030396,cds-ABJ12971.1,dsbC,thiol:disulfide interchange protein DsbC
gene-PA14_16070,345.5544921352201,301.5016396557057,0.1967473854465065,1.6606693315239422,cds-ABJ12970.1,hom,homoserine dehydrogenase
gene-PA14_16090,263.8897688869481,252.96654417081223,0.060988822248585504,0.38208486714458273,cds-ABJ12969.1,thrC,Threonine synthase
gene-PA14_16100,10.367054153383592,26.310391511383546,-1.3436266279191018,2.6100297093490927,cds-ABJ12968.1,PA14_16100,conserved hypothetical protein
gene-PA14_16110,40.234673231858686,15.33749524374363,1.391376360738378,4.186219512391266,cds-ABJ12967.1,PA14_16110,conserved hypothetical protein
gene-PA14_16130,84.57032467654854,103.79150409754023,-0.2954649304195185,2.794842610058882,cds-ABJ12966.1,PA14_16130,putative carnitine dehydratase
gene-PA14_16140,94.32085513445635,266.70967685890565,-1.4996214569902435,0.7187154788667348,cds-ABJ12965.1,PA14_16140,conserved hypothetical protein
gene-PA14_16150,87.39390828736111,197.30940510323117,-1.1748550904659656,0.9416484818459306,cds-ABJ12964.1,PA14_16150,putative phage shock protein
gene-PA14_16160,21.295022547487164,54.95803528125514,-1.3678141303482327,1.0510518018477017,cds-ABJ12963.1,PA14_16160,hypothetical protein
gene-PA14_16180,233.3263230114052,428.6014414426934,-0.8772876231459156,0.9537707899011101,cds-ABJ12962.1,PA14_16180,conserved hypothetical protein
gene-PA14_16190,142.39567848880458,337.8547081157205,-1.2464975906112696,0.9702122578028479,cds-ABJ12961.1,PA14_16190,hypothetical protein
gene-PA14_16200,24.251254320405753,37.93266111255042,-0.6453811957081044,0.4238292283188745,cds-ABJ12960.1,PA14_16200,conserved hypothetical protein
gene-PA14_16210,52.03300669302555,44.78705990592187,0.21634510833692425,0.5728594563549748,cds-ABJ12959.1,PA14_16210,conserved hypothetical protein
gene-PA14_16220,117.45455668538496,96.09690113787424,0.2895408675890351,1.3722305841895674,cds-ABJ12958.1,recJ,single-stranded-DNA-specific exonuclease RecJ
gene-PA14_16250,4793.851022334454,6238.521393437623,-0.3800190576994994,0.6385011062658619,cds-ABJ12957.1,lasB,elastase LasB
gene-PA14_16260,354.11154598984257,482.65172747099183,-0.4467786571004768,1.5974738296290307,cds-ABJ12956.1,PA14_16260,putative oxidoreductase%2C FAD/FMN-binding
gene-PA14_16270,69.64834567139174,72.86631023089268,-0.06516285163811306,0.17684050725236333,cds-ABJ12955.1,PA14_16270,conserved hypothetical protein
gene-PA14_16280,37.326155862711516,146.90995576173432,-1.9766732969661753,3.8071800796704824,cds-ABJ12954.1,PA14_16280,putative transciptional regulator
gene-PA14_16290,123.98934580014576,370.3200444683359,-1.5785564756593995,1.7290768891676627,cds-ABJ12953.1,PA14_16290,conserved hypothetical protein
gene-PA14_16300,4.909394774139769,26.88074512970533,-2.4529558017758095,3.2344794288284326,cds-ABJ12952.1,PA14_16300,hypothetical protein
gene-PA14_16310,8.411852316000974,23.583969096309193,-1.487311001546994,1.9875101523227054,cds-ABJ12951.1,PA14_16310,putative MFS permease
gene-PA14_16320,40.369672609231515,35.55234781275302,0.18332704603404004,0.8643615217736792,cds-ABJ12950.1,fkbP-1,putative FkbP-type peptidyl-prolyl cis-trans isomerase
gene-PA14_16330,331.0036413397922,351.5390727319321,-0.08683796200486056,0.32408639154176155,cds-ABJ12949.1,PA14_16330,conserved hypothetical protein
gene-PA14_16340,40.84256918845024,58.29672858580417,-0.5133412945842604,2.824271651571068,cds-ABJ12948.1,PA14_16340,conserved hypothetical protein
gene-PA14_16350,3.431538812812725,4.61757425646532,-0.4282793805529482,1.4717827598404334,cds-ABJ12947.1,PA14_16350,putative two-component response regulator
gene-PA14_16360,30.62052508316363,40.27044795889111,-0.39522248671053006,1.6975304241551272,cds-ABJ12946.1,PA14_16360,putative oxidase
gene-PA14_16370,246.94318845129825,224.96325703578017,0.13448978703624498,1.2935141135058823,cds-ABJ12945.1,PA14_16370,putative membrane protein
gene-PA14_16380,29.290972815813973,24.23411130223776,0.27341692076755464,1.2317925034906212,cds-ABJ12944.1,PA14_16380,putative LysR-family transcriptional regulator
gene-PA14_16390,227.73567063473538,231.20799228217663,-0.02183098795449941,0.05061319076866346,cds-ABJ12943.1,PA14_16390,putative glucose-methanol-choline oxidoreductase
gene-PA14_16410,46.092170639978654,51.33745006123987,-0.1554899248165605,0.5071347062890176,cds-ABJ12942.1,PA14_16410,putative MFS transporter
gene-PA14_16430,167.3053223801708,177.6657376585499,-0.0866821463071382,0.4912853572919134,cds-ABJ12941.1,wspA,putative methyl-accepting chemotaxis transducer
gene-PA14_16440,35.95494466446462,37.68075092107751,-0.06763752477769994,0.29825448924753273,cds-ABJ12940.1,wspB,hypothetical protein
gene-PA14_16450,59.08003785830723,58.58558405280382,0.012125040912775383,0.04187284037662276,cds-ABJ12939.1,wspC,putative chemotaxis protein methyltransferase CheR
gene-PA14_16460,32.24212359694028,25.859148208146166,0.31827200359346575,1.352045085761319,cds-ABJ12938.1,wspD,CheW domain protein
gene-PA14_16470,101.19442303022758,97.16538283887262,0.05861546186122987,0.42926895663847275,cds-ABJ12937.1,wspE,putative chemotaxis sensor/effector fusion protein
gene-PA14_16480,59.98590173154906,50.76989912211035,0.2406500713058616,0.9470449964143858,cds-ABJ12936.1,wspF,putative methylesterase%2C CheB-like
gene-PA14_16500,50.5864790277657,63.23219586811814,-0.32190748850322065,2.9657899624581825,cds-ABJ12935.1,wspR,probable two-component response regulator
gene-PA14_16510,243.64730555281218,187.73913930493063,0.3760648160117983,2.4533938502504036,cds-ABJ12934.1,PA14_16510,putative peptide chain release factor 2
gene-PA14_16530,261.24830280122296,263.1530661810904,-0.010480539980822589,0.1049707960063319,cds-ABJ12933.1,lysS,lysyl-tRNA synthetase
gene-PA14_16550,45.639852755329514,57.73329789258363,-0.33910949477242047,1.7289945395605064,cds-ABJ12932.1,PA14_16550,putative transcriptional regulator%2C TetR family
gene-PA14_16560,75.27746995226698,73.28066769486985,0.038785491340115635,0.25511819803334923,cds-ABJ12931.1,PA14_16560,putative lipoprotein
gene-PA14_16580,223.81775225881117,240.5062782039216,-0.10375008511527535,1.7205612043964482,cds-ABJ12930.1,PA14_16580,conserved hypothetical protein
gene-PA14_16590,80.70421165950732,86.0281976441317,-0.09216564693946026,0.5953981870938915,cds-ABJ12929.1,PA14_16590,conserved hypothetical protein
gene-PA14_16600,93.96613222514729,96.60842970165838,-0.04000821184522694,0.30460208982348824,cds-ABJ12928.1,PA14_16600,putative hydrolase%2C alpha/beta family
gene-PA14_16610,66.4952389011804,60.686097393289515,0.13188499775011306,1.2948967130154245,cds-ABJ12927.1,PA14_16610,putative lipoprotein
gene-PA14_16620,46.627389603762346,47.34517439089752,-0.022039723641520684,0.08442597818856412,cds-ABJ12926.1,PA14_16620,putative phophatase
gene-PA14_16630,5158.226925494514,1293.3325759601164,1.9957819352061852,4.026036504851654,cds-ABJ12925.1,PA14_16630,putative outer membrane protein%2C OmpA
gene-PA14_16640,3214.0224284497467,766.9843602743289,2.0671109303137642,3.566230764349022,cds-ABJ12924.1,PA14_16640,putative lipoprotein
gene-PA14_16660,318.0399436730493,540.6742487354674,-0.7655516737522923,1.4893022020518674,cds-ABJ12923.1,cadA,putative metal-transporting P-type ATPase
